index,title,partner,product_type,enrollment,coursera_subject,FL_category,duration,rating,level
1,Key Technologies for Business,IBM,Specialization,670k,Business,business_and_management,1-3 Months,4.7,Beginner
2,Financial Markets,Yale University,Course,1.1m,Business,business_and_management,1-3 Months,4.8,Beginner
3,Successful Negotiation: Essential Strategies and Skills,University of Michigan,Course,1.1m,Business,business_and_management,1-3 Months,4.8,Mixed
4,"Brand Management: Aligning Business, Brand and Behaviour",University of London,Course,230k,Business,business_and_management,1-3 Months,4.9,Beginner
5,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,Course,400k,Business,business_and_management,1-3 Months,4.9,Mixed
6,Impact Measurement & Management for the SDGs,Duke University,Course,4.1k,Business,business_and_management,1-3 Months,4.9,Mixed
7,Introduction to Social Media Marketing,Facebook,Course,150k,Business,business_and_management,1-3 Months,4.9,Beginner
8,Private Equity and Venture Capital,Università Bocconi,Course,150k,Business,business_and_management,1-3 Months,4.8,Mixed
9,Project Planning: Putting It All Together,Google,Course,61k,Business,business_and_management,1-3 Months,4.8,Beginner
10,Management of Fashion and Luxury Companies,Università Bocconi,Course,190k,Business,business_and_management,1-3 Months,4.7,Mixed
11,Transforming the Fashion Business,"Parsons School of Design, The New School",Specialization,5.9k,Business,business_and_management,1-3 Months,4.7,Intermediate
12,Marketing Analytics,University of Virginia,Course,280k,Business,business_and_management,1-3 Months,4.7,Beginner
13,Principles of Sustainable Finance,Erasmus University Rotterdam,Course,24k,Business,business_and_management,1-3 Months,4.7,Intermediate
14,Forensic Accounting and Fraud Examination,West Virginia University,Course,82k,Business,business_and_management,1-3 Months,4.7,Mixed
15,The Strategy of Content Marketing,"University of California, Davis",Course,260k,Business,business_and_management,1-3 Months,4.5,Intermediate
16,Excel Skills for Business: Essentials,Macquarie University,Course,640k,Business,business_and_management,1-3 Months,4.9,Beginner
17,Managing the Company of the Future,University of London,Course,95k,Business,business_and_management,1-3 Months,4.8,Mixed
18,Fundamentals of Finance,University of Pennsylvania,Course,37k,Business,business_and_management,1-3 Months,3.9,Beginner
19,Supply Chain Principles,Georgia Institute of Technology,Course,60k,Business,business_and_management,1-3 Months,4.6,Mixed
20,Organizational Analysis,Stanford University,Course,100k,Business,business_and_management,1-3 Months,4.6,Beginner
21,Project Execution: Running the Project,Google,Course,46k,Business,business_and_management,1-3 Months,4.8,Beginner
22,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,Course,20k,Business,business_and_management,1-3 Months,4.8,Beginner
23,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,Course,84k,Business,business_and_management,1-3 Months,4.6,Mixed
24,Introduction to Blockchain Technologies,INSEAD,Course,47k,Business,business_and_management,1-3 Months,4.7,Beginner
25,Introduction to Marketing,University of Pennsylvania,Course,300k,Business,business_and_management,1-3 Months,4.8,Mixed
26,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,Course,75k,Business,business_and_management,1-3 Months,4.6,Advanced
27,Customer Analytics,University of Pennsylvania,Course,230k,Business,business_and_management,1-3 Months,4.6,Mixed
28,Finance for Non-Finance Professionals,Rice University,Course,130k,Business,business_and_management,1-3 Months,4.8,Beginner
29,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,Course,120k,Business,business_and_management,1-3 Months,4.7,Beginner
30,Réussir le Changement,ESSEC Business School,Course,41k,Business,business_and_management,1-3 Months,4.5,Mixed
31,Marketing Digital,Universidade de São Paulo,Course,150k,Business,business_and_management,1-3 Months,4.8,Beginner
32,Project Launch,"University of California, Irvine",Course,0,Business,business_and_management,1-3 Months,4.7,Beginner
33,International Organizations Management,University of Geneva,Course,42k,Business,business_and_management,1-3 Months,4.8,Beginner
34,AI For Everyone （すべての人のためのAIリテラシー講座）,DeepLearning.AI,Course,15k,Business,business_and_management,1-3 Months,4.8,Beginner
35,Financing and Investing in Infrastructure,Università Bocconi,Course,37k,Business,business_and_management,1-3 Months,4.8,Mixed
36,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,Course,110k,Business,business_and_management,1-3 Months,4.8,Mixed
37,Salesforce Fundamentals,"University of California, Irvine",Specialization,8.3k,Business,business_and_management,1-3 Months,4.4,Beginner
38,How to Manage a Remote Team,GitLab,Course,28k,Business,business_and_management,1-3 Months,4.8,Intermediate
39,Sports Marketing,Northwestern University,Course,25k,Business,business_and_management,1-3 Months,4.7,Intermediate
